study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	read_count	experiment_title	experiment_alias	fastq_bytes	fastq_md5	fastq_ftp
PRJNA287438	SAMN03782133	SRS965131	SRX1065234	SRR2069940	Solanum tuberosum	Illumina HiSeq 2500	PAIRED	30834941	Illumina HiSeq 2500 sequencing; Library: NPV_FR; Description: Whole genomic DNA; Superior; leaf	Stuberosum_Superior_Leaf_gDNA_WGS_NPV_FR	3187475000;3242443186	28dfe0da32ee73427be80aacde95c2a1;6c9f76dbe8c852f6eeda56860db81570	ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/000/SRR2069940/SRR2069940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/000/SRR2069940/SRR2069940_2.fastq.gz
PRJNA287438	SAMN03782134	SRS965132	SRX1065236	SRR2069941	Solanum tuberosum	Illumina HiSeq 2500	PAIRED	41378163	Illumina HiSeq 2500 sequencing; Library: NPV_FS; Description: Whole genomic DNA; Superior; leaf	Stuberosum_Superior_Leaf_gDNA_WGS_NPV_FS	4301047062;4456607492	f5cc566074136d61486570cb9d13bd3b;5f65862017424849afeccb81a390caf7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/001/SRR2069941/SRR2069941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/001/SRR2069941/SRR2069941_2.fastq.gz
PRJNA287438	SAMN03782135	SRS965135	SRX1065237	SRR2069942	Solanum tuberosum	Illumina HiSeq 2500	PAIRED	35888494	Illumina HiSeq 2500 sequencing; Library: NPV_FT; Description: Whole genomic DNA; Superior; leaf	Stuberosum_Superior_Leaf_gDNA_WGS_NPV_FT	3906928086;4113408613	0854fbebfd53691039a6990149c800a6;64817a0c677546f413f5f665bbc61dfc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/002/SRR2069942/SRR2069942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/002/SRR2069942/SRR2069942_2.fastq.gz
PRJNA287438	SAMN03782137	SRS965136	SRX1065240	SRR2069948	Solanum tuberosum	Illumina HiSeq 2000	SINGLE	81936582	Illumina HiSeq 2000 sequencing; Library: SCP_AX; Description: Whole transcriptome; Atlantic; leaf	Stuberosum_Atlantic_Leaf_RNA_SCP_AX	3859957034	c37f948d1012b22271556ba6d4e12b60	ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/008/SRR2069948/SRR2069948.fastq.gz
PRJNA287438	SAMN03782132	SRS965129	SRX1065232	SRR2070063	Solanum tuberosum	Illumina HiSeq 2000	PAIRED	309461578	Illumina HiSeq 2000 sequencing; Library: SCP_AD; Description: Whole genomic DNA; Atlantic; leaf	Stuberosum_Atlantic_Leaf_gDNA_WGS_SCP_AD_HiSeq2000	26495671138;26147920024	5cfbff195899b0af83106d8c11068eb9;0ba39149156f5f2653033963bae03ae7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/003/SRR2070063/SRR2070063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/003/SRR2070063/SRR2070063_2.fastq.gz
PRJNA287438	SAMN03782132	SRS965129	SRX1065232	SRR2070065	Solanum tuberosum	Illumina HiSeq 2000	PAIRED	235315561	Illumina HiSeq 2000 sequencing; Library: SCP_AD; Description: Whole genomic DNA; Atlantic; leaf	Stuberosum_Atlantic_Leaf_gDNA_WGS_SCP_AD_HiSeq2000	20762012589;20933036339	338a52d90f32885520c0d185d7216a2d;55300724ae79936cf6ffe8f8f2557f83	ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/005/SRR2070065/SRR2070065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/005/SRR2070065/SRR2070065_2.fastq.gz
PRJNA287438	SAMN03782136	SRS965133	SRX1065239	SRR2070067	Solanum tuberosum	Illumina HiSeq 2500	PAIRED	22731612	Illumina HiSeq 2500 sequencing; Library: NPV_FU; Description: Whole genomic DNA; Superior; leaf	Stuberosum_Superior_Leaf_gDNA_WGS_NPV_FU	2612060251;2599367330	28d4a9b0488854ae653b94a71e6a9943;a055182d400dcd867345d9b257175d17	ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/007/SRR2070067/SRR2070067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/007/SRR2070067/SRR2070067_2.fastq.gz
PRJNA287438	SAMN03782138	SRS965138	SRX1065241	SRR2070071	Solanum tuberosum	Illumina HiSeq 2000	SINGLE	73287581	Illumina HiSeq 2000 sequencing; Library: SCP_AU; Description: Whole transcriptome; Atlantic; tuber	Stuberosum_Atlantic_Tuber_RNA_SCP_AU	3541240205	c234bf45e43c69bb5cdcef1c942b76e3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/001/SRR2070071/SRR2070071.fastq.gz
PRJNA287438	SAMN03782139	SRS965137	SRX1065242	SRR2070075	Solanum tuberosum	Illumina HiSeq 2500	SINGLE	155495609	Illumina HiSeq 2500 sequencing; Library: NPV_GX; Description: Whole transcriptome; Superior; leaf	Stuberosum_Superior_Leaf_RNA_NPV_GX	6134150681	c06255baa7fe05fa4bb43c6567802749	ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/005/SRR2070075/SRR2070075.fastq.gz
PRJNA287438	SAMN03782140	SRS965139	SRX1065243	SRR2070076	Solanum tuberosum	Illumina HiSeq 2500	SINGLE	118259298	Illumina HiSeq 2500 sequencing; Library: NPX_GY; Description: Whole transcriptom; Superior; tuber	Stuberosum_Superior_Tuber_RNA_NPV_GY	4754192669	89d9a5d6e1be9ffe00b95958d15260fc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/006/SRR2070076/SRR2070076.fastq.gz
